0.-0.00008351354260235913*I	0.5949355863189689+0.*I	0.+0.000024019983970462267*I	-0.2616022549122527+0.*I	0.+2.1402415207630082*^-6*I	0.046097520699313124+0.*I	0.-6.749993590694336*^-6*I	0.04570268276736503+0.*I	0.+2.1797253139578366*^-6*I	-0.04570268311759598+0.*I	0.+2.390542997801782*^-6*I	0.00589260179829736+0.*I	0.-2.979803177631496*^-6*I	0.025978398896915642+0.*I	0.+3.819632879399668*^-7*I	-0.025978398987195554+0.*I	0.+2.2158766107795828*^-6*I	0.025978399208783382+0.*I	0.-4.813716531657935*^-6*I	1.284763894141548*^-10+0.*I	0.+4.431753230870342*^-6*I	-0.03187100099319322+0.*I	0.+1.735150046080577*^-6*I	0.03981008155835308+0.*I	0.-8.10670119971766*^-6*I	5.682034742917419*^-10+0.*I	0.+5.926975828939517*^-6*I	-0.09180020414167765+0.*I	0.+0.000010003038175922537*I	0.21550473442696372+0.*I	0.-0.000033693753139382115*I	-0.3333333290047177+0.*I	0.+0.00004300710206939122*I	0.40506440532967686+0.*I
0.5949355863189679+0.*I	0.-717.3108227431516*I	0.33333333140671684+0.*I	0.+1178.2859719377618*I	-0.2155047342129406+0.*I	0.-1237.0453074626223*I	0.09180020346667842+0.*I	0.+918.0020311644786*I	-3.502305945257689*^-10+0.*I	0.-398.1008166952932*I	-0.039810081319298696+0.*I	0.-79.39080624085948*I	0.031871000695212745+0.*I	0.+318.71000604932874*I	-9.027992242671701*^-11+0.*I	0.-259.78399077475405*I	-0.025978398987195478+0.*I	0.+259.7839933725936*I	0.05195679832445487+0.*I	0.-58.926015274574944*I	-0.057849399761632836+0.*I	0.-239.31920299556938*I	0.0020464787668632023+0.*I	0.+477.4916269171608*I	0.08551276524415197+0.*I	0.-519.9012144691852*I	-0.1375028863408403+0.*I	0.+319.04326711812337*I	0.077607009585974+0.*I	0.+58.759357075333725*I	0.14377366033449945+0.*I	0.-460.9751825279435*I	-0.5232045099940097+0.*I	0.+717.3107632495929*I
0.+0.000024019983970462453*I	0.33333333140671545+0.*I	0.-0.00005735331711113406*I	0.3794308521060298+0.*I	0.+0.00001941023190053104*I	-0.16980205144557536+0.*I	0.-2.4300267559734744*^-6*I	0.046097520349082564+0.*I	0.-2.1797252789347526*^-6*I	0.005892601448066526+0.*I	0.+1.5904651341280824*^-6*I	-0.013831682422383276+0.*I	0.-2.072968918897701*^-7*I	0.005892601708017377+0.*I	0.-3.8196327891196246*^-7*I	-9.028003761727779*^-11+0.*I	0.+3.819632879399757*^-7*I	1.2847642837341048*^-10+0.*I	0.-3.819633007876473*^-7*I	-0.005892601655933721+0.*I	0.+1.3531867452930091*^-6*I	0.00793908069363612+0.*I	0.-1.9397979227668028*^-6*I	0.007939081133363+0.*I	0.-4.4457532469753376*^-7*I	-0.0519901220151216+0.*I	0.+7.823312805144337*^-6*I	0.12370453085349023+0.*I	0.-0.00001776373913452006*I	-0.2096287987194314+0.*I	0.+0.00001931638710593198*I	0.2872358107519229+0.*I	0.+9.313348930009583*^-6*I	-0.33333332900471707+0.*I
-0.26160225491225186+0.*I	0.+1178.2859719377598*I	0.3794308521060279+0.*I	0.-1954.3561302057703*I	0.4251335348733951+0.*I	0.+2096.288003102239*I	-0.21550473456317124+0.*I	0.-1635.146124157916*I	0.05199012214737969+0.*I	0.+838.6112249236194*I	0.031871000344982275+0.*I	0.-79.39081064596367*I	-0.0398100814095787+0.*I	0.-339.1747970156139*I	0.005892601708017281+0.*I	0.+318.71000604932925*I	0.02597839889691561+0.*I	0.-318.7100086471687*I	-0.057849399761632475+0.*I	0.+20.464790377024514*I	0.0540032770913178+0.*I	0.+418.56561164258574*I	0.027663365482519353+0.*I	0.-759.2204174647557*I	-0.1354564075739776+0.*I	0.+796.5348940352843*I	0.16311977483012674+0.*I	0.-461.14185739384953*I	0.006270773993659606+0.*I	0.-141.9319154098226*I	-0.4455975004080359+0.*I	0.+776.0701203249249*I	0.1437736603344988+0.*I	0.-1178.2859457775344*I
0.+2.1402415207629367*^-6*I	-0.21550473421293997+0.*I	0.+0.000019410231900531095*I	0.42513353487339395+0.*I	0.-0.0000619235853878705*I	0.37943085175579816+0.*I	0.+0.000023980500212290663*I	-0.2096121327648735+0.*I	0.-3.0192869358033224*^-6*I	0.07796852104429539+0.*I	0.-4.777565168626222*^-6*I	0.0058926013577864575+0.*I	0.+4.188305032847569*^-6*I	-0.039810081409578285+0.*I	0.-2.0729689188974282*^-7*I	0.03187100069521264+0.*I	0.-2.9798031776315243*^-6*I	-0.03187100099319304+0.*I	0.+6.166903276950815*^-6*I	0.007939080693636016+0.*I	0.-6.753514454424753*^-6*I	0.0339174804706224+0.*I	0.-8.265386254850621*^-7*I	-0.08386112287983834+0.*I	0.+0.000013990216082095256*I	0.13164361141864947+0.*I	0.-0.000024135290288156968*I	-0.16981871659287479+0.*I	0.+0.000017136661735153788*I	0.1954356071784492+0.*I	0.+0.000025243362934871635*I	-0.20962879871943074+0.*I	0.-0.000023690714963459362*I	0.2155047344269641+0.*I
0.04609752069931172+0.*I	0.-1237.045307462619*I	-0.1698020514455737+0.*I	0.+2096.288003102237*I	0.37943085175579727+0.*I	0.-2352.4569469010653*I	0.3853234535540961+0.*I	0.+2016.89719686138*I	-0.18363373386795812+0.*I	0.-1316.4361181085853*I	0.05199012205709952+0.*I	0.+578.8272341488635*I	0.005892601357786742+0.*I	0.-79.39081064596337*I	-0.013831682422383085+0.*I	0.-79.39080624085993*I	0.005892601798297092+0.*I	0.+79.39080565159932*I	0.0020464787668628692+0.*I	0.+158.78161826999144*I	0.027663365482519242+0.*I	0.-499.43642409216034*I	-0.08349960924952216+0.*I	0.+737.6088787607096*I	0.10527037506849357+0.*I	0.-700.4610603894212*I	0.00831725276052131+0.*I	0.+335.5597115073399*I	-0.36008473516388384+0.*I	0.+256.1689058557435*I	0.006270773993660939+0.*I	0.-859.2426786594126*I	0.07760700958597488+0.*I	0.+1237.0453028528668*I
0.-6.749993590694125*^-6*I	0.09180020346667775+0.*I	0.-2.4300267559736514*^-6*I	-0.21550473456316982+0.*I	0.+0.000023980500212290633*I	0.38532345355409436+0.*I	0.-0.00006251284556770009*I	0.41130185245101175+0.*I	0.+0.000021382660322598934*I	-0.20961213285515345+0.*I	0.-4.214470370835935*^-7*I	0.0519901220570993+0.*I	0.-4.777565168626337*^-6*I	0.0318710003449827+0.*I	0.+1.5904651341280733*^-6*I	-0.03981008131929907+0.*I	0.+2.390542997801837*^-6*I	0.03981008155835335+0.*I	0.-6.371551153637156*^-6*I	0.007939081133362884+0.*I	0.+3.987177906172792*^-6*I	-0.08386112287983842+0.*I	0.+9.176499550437334*^-6*I	0.15762201075590968+0.*I	0.-0.00002451725358894465*I	-0.20168971745759218+0.*I	0.+0.000023303565012104906*I	0.20337468774360917+0.*I	0.+0.000018871811781234267*I	-0.16981871659287465+0.*I	0.-0.000025870440334237556*I	0.12370453085348941+0.*I	0.+0.000015930014004862423*I	-0.0918002041416771+0.*I
0.04570268276736589+0.*I	0.+918.0020311644761*I	0.04609752034908188+0.*I	0.-1635.1461241579111*I	-0.209612132764873+0.*I	0.+2016.897196861376*I	0.4113018524510107+0.*I	0.-2033.7469408517336*I	0.3853234534638158+0.*I	0.+1757.1132060866223*I	-0.2096121328551536+0.*I	0.-1316.4361181085833*I	0.0779685210442953+0.*I	0.+838.6112249236172*I	0.005892601448066526+0.*I	0.-398.1008166952923*I	-0.0457026831175959+0.*I	0.+398.1008212655608*I	0.08551276524415202+0.*I	0.-440.51040881758496*I	-0.13545640757397692+0.*I	0.+477.824885388114*I	0.10527037506849313+0.*I	0.-440.67706701682545*I	0.0602740510849773+0.*I	0.+276.63369623276617*I	-0.4179341349255159+0.*I	0.+16.84970286017244*I	0.00831725276052242+0.*I	0.-381.75105174225155*I	0.16311977483012652+0.*I	0.+717.1440883836831*I	-0.1375028863408403+0.*I	0.-918.0020357347445*I
0.+2.1797253139575795*^-6*I	-3.502304195525619*^-10+0.*I	0.-2.179725278934549*^-6*I	0.05199012214737906+0.*I	0.-3.0192869358033584*^-6*I	-0.18363373386795714+0.*I	0.+0.000021382660322599093*I	0.38532345346381525+0.*I	0.-0.00005991500566898064*I	0.3853234534638157+0.*I	0.+0.000021382660322599062*I	-0.1836337338679578+0.*I	0.-3.0192869358032657*^-6*I	0.0519901221473793+0.*I	0.-2.1797252789346967*^-6*I	-3.5023054761491974*^-10+0.*I	0.+2.1797253139577362*^-6*I	5.682029572615152*^-10+0.*I	0.-2.1797253707780485*^-6*I	-0.05199012201512146+0.*I	0.+9.558462851224867*^-6*I	0.13164361141864983+0.*I	0.-0.000019703537057286627*I	-0.20168971745759193+0.*I	0.+0.00001848984848044691*I	0.22935308708086838+0.*I	0.+0.000018489848480446817*I	-0.2016897174575919+0.*I	0.-0.00001970353705728662*I	0.13164361141864953+0.*I	0.+9.55846285122499*^-6*I	-0.05199012201512119+0.*I	0.-2.179725370778075*^-6*I	5.682029052108626*^-10+0.*I
-0.045702683117595955+0.*I	0.-398.100816695292*I	0.005892601448066637+0.*I	0.+838.6112249236144*I	0.07796852104429486+0.*I	0.-1316.4361181085792*I	-0.2096121328551528+0.*I	0.+1757.1132060866214*I	0.38532345346381497+0.*I	0.-2033.7469408517334*I	0.4113018524510115+0.*I	0.+2016.8971968613778*I	-0.20961213276487378+0.*I	0.-1635.146124157913*I	0.04609752034908243+0.*I	0.+918.0020311644766*I	0.04570268276736544+0.*I	0.-918.0020357347449*I	-0.13750288634083996+0.*I	0.+717.1440883836847*I	0.16311977483012652+0.*I	0.-381.75105174225104*I	0.008317252760521976+0.*I	0.+16.84970286017024*I	-0.41793413492551634+0.*I	0.+276.6336962327662*I	0.0602740510849773+0.*I	0.-440.6770670168289*I	0.10527037506849202+0.*I	0.+477.8248853881129*I	-0.13545640757397748+0.*I	0.-440.51040881758234*I	0.08551276524415224+0.*I	0.+398.10082126556034*I
0.+2.390542997801967*^-6*I	-0.0398100813192989+0.*I	0.+1.5904651341279327*^-6*I	0.03187100034498264+0.*I	0.-4.777565168626191*^-6*I	0.05199012205709909+0.*I	0.-4.214470370837101*^-7*I	-0.20961213285515298+0.*I	0.+0.000021382660322599005*I	0.41130185245101086+0.*I	0.-0.0000625128455677001*I	0.3853234535540954+0.*I	0.+0.00002398050021229057*I	-0.21550473456317054+0.*I	0.-2.4300267559735155*^-6*I	0.09180020346667822+0.*I	0.-6.749993590694292*^-6*I	-0.09180020414167758+0.*I	0.+0.000015930014004862037*I	0.12370453085348969+0.*I	0.-0.000025870440334237573*I	-0.16981871659287495+0.*I	0.+0.000018871811781234504*I	0.20337468774360912+0.*I	0.+0.000023303565012104727*I	-0.20168971745759184+0.*I	0.-0.000024517253588944547*I	0.1576220107559092+0.*I	0.+9.176499550437263*^-6*I	-0.0838611228798382+0.*I	0.+3.987177906172714*^-6*I	0.007939081133362802+0.*I	0.-6.3715511536371545*^-6*I	0.039810081558353215+0.*I
0.005892601798295649+0.*I	0.-79.39080624086044*I	-0.013831682422381697+0.*I	0.-79.39081064595945*I	0.005892601357785743+0.*I	0.+578.8272341488572*I	0.05199012205709996+0.*I	0.-1316.4361181085806*I	-0.18363373386795812+0.*I	0.+2016.8971968613766*I	0.3853234535540957+0.*I	0.-2352.456946901064*I	0.3794308517557978+0.*I	0.+2096.2880031022373*I	-0.1698020514455743+0.*I	0.-1237.0453074626205*I	0.04609752069931228+0.*I	0.+1237.0453028528677*I	0.07760700958597466+0.*I	0.-859.2426786594117*I	0.006270773993659828+0.*I	0.+256.16890585574123*I	-0.36008473516388406+0.*I	0.+335.55971150734194*I	0.008317252760522642+0.*I	0.-700.4610603894223*I	0.10527037506849313+0.*I	0.+737.6088787607114*I	-0.08349960924952105+0.*I	0.-499.4364240921574*I	0.02766336548251913+0.*I	0.+158.78161826998837*I	0.002046478766862203+0.*I	0.+79.39080565160025*I
0.-2.9798031776314684*^-6*I	0.03187100069521261+0.*I	0.-2.0729689188981318*^-7*I	-0.039810081409578556+0.*I	0.+4.188305032847662*^-6*I	0.005892601357786868+0.*I	0.-4.7775651686263415*^-6*I	0.07796852104429478+0.*I	0.-3.019286935803133*^-6*I	-0.2096121327648734+0.*I	0.+0.000023980500212290467*I	0.3794308517557982+0.*I	0.-0.00006192358538787034*I	0.4251335348733941+0.*I	0.+0.00001941023190053096*I	-0.21550473421294003+0.*I	0.+2.1402415207630565*^-6*I	0.21550473442696416+0.*I	0.-0.000023690714963459457*I	-0.20962879871943088+0.*I	0.+0.00002524336293487153*I	0.195435607178449+0.*I	0.+0.000017136661735153937*I	-0.16981871659287498+0.*I	0.-0.000024135290288157016*I	0.1316436114186499+0.*I	0.+0.000013990216082095237*I	-0.08386112287983823+0.*I	0.-8.265386254851819*^-7*I	0.033917480470622145+0.*I	0.-6.7535144544247565*^-6*I	0.007939080693636254+0.*I	0.+6.166903276950737*^-6*I	-0.03187100099319295+0.*I
