0.-0.00008256291915987236*I	0.5853087889251688+0.*I	0.+0.000024032040267355534*I	-0.2517730905699156+0.*I	0.+1.1452687896359666*^-6*I	0.04604101823984127+0.*I	0.-5.749370613620078*^-6*I	0.03520209779603413+0.*I	0.+2.229160834016663*^-6*I	-0.03456294757892909+0.*I	0.+1.2271339238762172*^-6*I	0.005922322886567328+0.*I	0.-1.8193662125329467*^-6*I	0.012903750228767457+0.*I	0.+5.28991189656214*^-7*I	-0.011719073545480038+0.*I	0.+6.429161648918305*^-7*I	0.0007198468778774879+0.*I	0.-7.149008526795673*^-7*I	0.0062154444287121045+0.*I	0.+9.335640980839191*^-8*I	-0.004252054705274677+0.*I	0.+3.3184906071917637*^-7*I	-0.0013416160824159084+0.*I	0.-1.9768745247753146*^-7*I	0.0032270205391694514+0.*I	0.-1.250146014394025*^-7*I	-0.0032270205516705913+0.*I	0.+4.477166566065662*^-7*I	-0.0018854044765222314+0.*I	0.-6.148875647669565*^-8*I	0.0055936708208753835+0.*I	0.-8.297273863293882*^-7*I	-0.001963389714101857+0.*I	0.+9.327099479314905*^-7*I	-0.006935291378079544+0.*I	0.+4.757200425559482*^-7*I	0.010999226731894383+0.*I	0.-2.218558880637371*^-6*I	-0.0011846766303883667+0.*I	0.+1.8080353540196522*^-6*I	-0.018826073297271307+0.*I	0.+1.8939381882303953*^-6*I	0.028640624815075146+0.*I	0.-5.985134593588321*^-6*I	-0.0006391499941891212+0.*I	0.+3.819888758944718*^-6*I	-0.08124311661081246+0.*I	0.+0.000010053793515936758*I	0.20573207244460107+0.*I	0.-0.00003177226955039343*I	-0.33353569595204924+0.*I	0.+0.00004109379887810448*I	0.4146912028185393+0.*I
0.5853087889254425+0.*I	0.-811.5551271942863*I	0.3335356983551292+0.*I	0.+1278.0362602493647*I	-0.2057320723301927+0.*I	0.-1244.8895629412843*I	0.0812431160360643+0.*I	0.+818.8226625296201*I	0.0006391502168977686+0.*I	0.-280.0147447536295*I	-0.028640624692260655+0.*I	0.-98.14551576857434*I	0.018826073115403213+0.*I	0.+200.1074979852756*I	0.0011846766831243027+0.*I	0.-98.14549984336676*I	-0.010999226667460976+0.*I	0.-40.63935360922302*I	0.006935291306538693+0.*I	0.+88.98681029946135*I	0.0019633897234075243+0.*I	0.-36.302810642334315*I	-0.005593670787641045+0.*I	0.-37.08266330898974*I	0.0018854044567420125+0.*I	0.+51.124249958795744*I	0.0032270205391374263+0.*I	0.-51.12425028149753*I	-0.008339445567287385+0.*I	0.-14.041586838346277*I	0.00504988242671045+0.*I	0.+73.38547451069127*I	0.007882335811998958+0.*I	0.-52.68399985346606*I	-0.015114125520753474+0.*I	0.-48.34745738376782*I	0.0033440884758386136+0.*I	0.+138.78485455251223*I	0.02153362364687289+0.*I	0.-101.96199826037667*I	-0.03291450015603559+0.*I	0.-101.96198409930884*I	0.003892228630707706+0.*I	0.+378.160263386266*I	0.06256442240017357+0.*I	0.-538.8079178399059*I	-0.1170843644010442+0.*I	0.+426.06689228735246*I	0.0784479375936259+0.*I	0.-33.14667673487306*I	0.12396946706317902+0.*I	0.-466.48116640864833*I	-0.5041532820591698+0.*I	0.+811.5550686634074*I
0.+0.000024032040267322303*I	0.33353569835540575+0.*I	0.-0.00005738561010286288*I	0.379576716594846+0.*I	0.+0.00001942793844337826*I	-0.1705299745339633+0.*I	0.-2.3749409899819067*^-6*I	0.04668016845691976+0.*I	0.-2.293075855709998*^-6*I	0.0065614731035732385+0.*I	0.+1.636928545352714*^-6*I	-0.01573687446343195+0.*I	0.-6.324109900952374*^-8*I	0.0071069995697676455+0.*I	0.-6.474588579672308*^-7*I	0.0019045235611376366+0.*I	0.+4.570065018534582*^-7*I	-0.004783782238794856+0.*I	0.+2.1371722025984653*^-8*I	0.002683236601230498+0.*I	0.-2.8969538214898726*^-7*I	0.0006217736410418284+0.*I	0.+2.2751801804478377*^-7*I	-0.0023666502484815345+0.*I	0.+9.147006803360116*^-9*I	0.0018854044567086514+0.*I	0.-1.9768745247414375*^-7*I	-0.0018854044764774285+0.*I	0.+3.8622790012190937*^-7*I	0.00048124579268757014+0.*I	0.-4.4349948619396335*^-7*I	0.0017448766301913182+0.*I	0.+4.149380513027002*^-8*I	-0.0033050102712417957+0.*I	0.+5.787026041430114*^-7*I	0.0021005456397016464+0.*I	0.-8.101288901392968*^-7*I	0.0028792587233577643+0.*I	0.+6.519651594947486*^-8*I	-0.009011523195651312+0.*I	0.+1.4834146615829247*^-6*I	0.008629874887340145+0.*I	0.-2.283161051293657*^-6*I	0.009175401523551506+0.*I	0.-2.7130764639894944*^-7*I	-0.05324164178980045+0.*I	0.+7.888547681260986*^-6*I	0.12384980583954948+0.*I	0.-0.000017898587275213876*I	-0.20904674011808883+0.*I	0.+0.000019375322844072182*I	0.28688757931118736+0.*I	0.+9.321529327704802*^-6*I	-0.3335356959522018+0.*I
-0.2517730905703013+0.*I	0.+1278.0362602494465*I	0.379576716595246+0.*I	0.-2056.444690135696*I	0.4147788143911846+0.*I	0.+2096.8589227790326*I	-0.20509292211328123+0.*I	0.-1524.904307694928*I	0.052602491343788416+0.*I	0.+720.6771467609823*I	0.019465223332309683+0.*I	0.-79.90724676825691*I	-0.027455948009135506+0.*I	0.-196.29101561198976*I	0.007826846447936492+0.*I	0.+159.46814437605897*I	0.008119967989669408+0.*I	0.-9.158689543867368*I	-0.009035836944056352+0.*I	0.-76.94216425159229*I	0.0013416205188968022+0.*I	0.+51.90414699048693*I	0.003848794180151993+0.*I	0.+14.82143931647378*I	-0.0023666502485045204+0.*I	0.-37.082663309007216*I	-0.0013416160823961631+0.*I	0.+37.08266344316835*I	0.005049882426712948+0.*I	0.+22.261224229198223*I	-0.0004571097552886205+0.*I	0.-66.72558669184029*I	-0.010064243094046299+0.*I	0.+25.0380171269434*I	0.011226424287844261+0.*I	0.+86.1008546990439*I	0.006419498126116863+0.*I	0.-150.30945564418846*I	-0.029570411680203246+0.*I	0.+36.82287045324658*I	0.02542585227759242+0.*I	0.+276.1982651258428*I	0.029649922244118443+0.*I	0.-640.769901939247*I	-0.11319213577035447+0.*I	0.+804.2271556736969*I	0.1410123599938704+0.*I	0.-571.9545945748123*I	0.0068851026620859734+0.*I	0.-40.41427412121849*I	-0.4257053444656411+0.*I	0.+778.4083919285778*I	0.12396946706319112+0.*I	0.-1278.0362350721375*I
0.+1.1452687897087961*^-6*I	-0.20573207233046056+0.*I	0.+0.0000194279384433373*I	0.4147788143915836+0.*I	0.-0.000060905819882495677*I	0.3802158668118653+0.*I	0.+0.00002288423320130913*I	-0.1991705992264121+0.*I	0.-2.9671732786679266*^-6*I	0.06550624157252238+0.*I	0.-3.583450878584325*^-6*I	0.007746149786605689+0.*I	0.+2.808835899923746*^-6*I	-0.026736101130965726+0.*I	0.-1.3522578682717703*^-7*I	0.014042290876469113+0.*I	0.-1.2690033008197127*^-6*I	0.0038679132844069196+0.*I	0.+8.822119723789956*^-7*I	-0.010377453026387961+0.*I	0.+1.555333302598117*^-7*I	0.0045686410580047946+0.*I	0.-6.12397436060218*^-7*I	0.0038487941801310047+0.*I	0.+2.2751801804720684*^-7*I	-0.005593670787610973+0.*I	0.+3.3184906071390565*^-7*I	0.005593670820795498+0.*I	0.-8.912161427935361*^-7*I	0.0017448766302314612+0.*I	0.+4.892104617229004*^-7*I	-0.008417435299375397+0.*I	0.+9.649305042744482*^-7*I	0.0058088119839367755+0.*I	0.-1.7013450329278206*^-6*I	0.00650953983020222+0.*I	0.+1.6817907752836854*^-7*I	-0.01791020428777638+0.*I	0.+2.8918446520696504*^-6*I	0.012693810240973904+0.*I	0.-4.0259998893397415*^-6*I	0.018989951625243598+0.*I	0.-6.818311731209656*^-7*I	-0.07325239171747318+0.*I	0.+0.000011590521223451038*I	0.13366435735717264+0.*I	0.-0.000021989783680528673*I	-0.1810452652970296+0.*I	0.+0.000017210077009189505*I	0.20500531270596914+0.*I	0.+0.00002319521160255797*I	-0.20904674011832924+0.*I	0.-0.000021718476034089078*I	0.20573207244498748+0.*I
0.046041018240083+0.*I	0.-1244.8895629415586*I	-0.1705299745342389+0.*I	0.+2096.8589227793454*I	0.3802158668121733+0.*I	0.-2336.459434889411*I	0.38613818969888547+0.*I	0.+1998.7134070104128*I	-0.18626684899784424+0.*I	0.-1324.7968097094365*I	0.05378716802690059+0.*I	0.+622.5316469173908*I	0.008465996664838493+0.*I	0.-120.54660037738533*I	-0.02052065670257694+0.*I	0.-107.30420531248711*I	0.009790236171328265+0.*I	0.+123.16533373361018*I	0.0025262972020328456+0.*I	0.-46.24135285277235*I	-0.007150432487309927+0.*I	0.-25.817914292806915*I	0.004568641058029038+0.*I	0.+51.90414699043836*I	0.0006217736410146779+0.*I	0.-36.302810642284236*I	-0.004252054705243313+0.*I	0.+36.30281106749015*I	0.007882335811992242+0.*I	0.-15.601336410331093*I	-0.010064243094039527+0.*I	0.-26.08623315449522*I	0.0028869787205614283+0.*I	0.+72.05926786062265*I	0.011469380552810549+0.*I	0.-76.92398113346783*I	-0.021688075868190326+0.*I	0.-15.861129400146933*I	0.01031172675684533+0.*I	0.+227.85080774193784*I	0.03299401071992558+0.*I	0.-501.9850473866054*I	-0.0916585121234108+0.*I	0.+702.2651574133289*I	0.10809785983784392+0.*I	0.-673.9165786742914*I	0.010777331292685766+0.*I	0.+337.74598926517945*I	-0.3631409220653006+0.*I	0.+239.6004740884791*I	0.006885102662272935+0.*I	0.-851.9693427847895*I	0.07844793759338942+0.*I	0.+1244.8895583374567*I
0.-5.7493706137156314*^-6*I	0.0812431160363054+0.*I	0.-2.374940989914882*^-6*I	-0.20509292211364993+0.*I	0.+0.000022884233201279904*I	0.3861381896991932+0.*I	0.-0.00006149805217119922*I	0.39904193992745474+0.*I	0.+0.000021593858178453754*I	-0.19798592254347028+0.*I	0.-1.7952659241067067*^-6*I	0.054507014905134446+0.*I	0.-3.655435566406775*^-6*I	0.014681441093227119+0.*I	0.+2.187291457084023*^-6*I	-0.024772711407716523+0.*I	0.+2.8997968368762195*^-7*I	0.008448620088953213+0.*I	0.-1.1348416925829465*^-6*I	0.005753317741112375+0.*I	0.+5.595099184717258*^-7*I	-0.0071504324872877405+0.*I	0.+1.5553333025701587*^-7*I	0.0013416205189153278+0.*I	0.-2.8969538214860053*^-7*I	0.0019633897233808373+0.*I	0.+9.335640981064337*^-8*I	-0.001963389714044951+0.*I	0.+1.029825615939014*^-7*I	-0.0033050102712656113+0.*I	0.+5.172138476811988*^-7*I	0.0058088119839257565+0.*I	0.-1.2536283763309419*^-6*I	0.001397114802126297+0.*I	0.+5.54406977646465*^-7*I	-0.0142019379435499+0.*I	0.+2.0006285092916723*^-6*I	0.01632409134776124+0.*I	0.-3.923017327755873*^-6*I	0.010091270533218297+0.*I	0.+7.265988173497917*^-7*I	-0.06918845636390547+0.*I	0.+9.84768238545791*^-6*I	0.14347890745880923+0.*I	0.-0.00002240030720725757*I	-0.20105601522459862+0.*I	0.+0.000020912050551259585*I	0.21481986422354685+0.*I	0.+0.00001910401519737446*I	-0.18104526529711987+0.*I	0.-0.00002388372186877339*I	0.12384980583985047+0.*I	0.+0.00001387368227471342*I	-0.08124311661124244+0.*I
0.03520209779601624+0.*I	0.+818.8226625301095*I	0.04668016845699463+0.*I	0.-1524.904307695611*I	-0.1991705992265559+0.*I	0.+1998.7134070108211*I	0.39904193992763787+0.*I	0.-2136.3519369039523*I	0.38732286638196667+0.*I	0.+1900.5679071666782*I	-0.19726607566529905+0.*I	0.-1365.4361633183307*I	0.0607224593334659+0.*I	0.+711.5184572167644*I	0.010429386388210726+0.*I	0.-156.84941101985314*I	-0.026114327490195877+0.*I	0.-144.38686862127344*I	0.011675640628068529+0.*I	0.+174.28958369229073*I	0.005753317741160446+0.*I	0.-46.24135285279399*I	-0.010377453026439665+0.*I	0.-76.94216425151212*I	0.0026832366012886633+0.*I	0.+88.98681029938538*I	0.006215444428649908+0.*I	0.-88.98681092093014*I	-0.015114125520743149+0.*I	0.-12.044646316197339*I	0.011226424287834491+0.*I	0.+123.18351814205104*I	0.011469380552811326+0.*I	0.-128.04823141482845*I	-0.030027521435454396+0.*I	0.-29.902716238581228*I	0.01536160918352758+0.*I	0.+301.2362822525589*I	0.04087634653192551+0.*I	0.-554.6690472398506*I	-0.10677263764412115+0.*I	0.+653.91770002932*I	0.11144194831356247+0.*I	0.-535.1317241217394*I	0.032310954939542835+0.*I	0.+235.7839910049883*I	-0.39605542222123935+0.*I	0.+137.6384899889375*I	0.010777331292674663+0.*I	0.-473.8090793981506*I	0.14101235999354467+0.*I	0.+706.0816404974846*I	-0.11708436440066639+0.*I	0.-818.8226660503194*I
0.+2.229160834113893*^-6*I	0.0006391502167066424+0.*I	0.-2.2930758557845934*^-6*I	0.052602491344087295+0.*I	0.-2.96717327862419*^-6*I	-0.18626684899810958+0.*I	0.+0.000021593858178435132*I	0.3873228663821501+0.*I	0.-0.00006032614481665015*I	0.3880427132601375+0.*I	0.+0.000021521873490636365*I	-0.19105063123696742+0.*I	0.-2.4168103669396353*^-6*I	0.05647040462844859+0.*I	0.-3.230230095905218*^-6*I	0.009087770305731152+0.*I	0.+2.3214530653321005*^-6*I	-0.022887306951079843+0.*I	0.-3.2722370224086847*^-8*I	0.011675640628116818+0.*I	0.-1.1348416925875503*^-6*I	0.002526297202007535+0.*I	0.+8.822119723868475*^-7*I	-0.009035836944064844+0.*I	0.+2.1371722019626126*^-8*I	0.006935291306556725+0.*I	0.-7.1490085267543*^-7*I	-0.006935291378046947+0.*I	0.+1.4084299904800895*^-6*I	0.0021005456396453546+0.*I	0.-1.6398562764645522*^-6*I	0.006509539830278499+0.*I	0.+1.0669032104983379*^-7*I	-0.014201937943608346+0.*I	0.+2.4483451658984417*^-6*I	0.011211666319691158+0.*I	0.-3.536789427643978*^-6*I	0.01379953687749421+0.*I	0.-1.6461732543743146*^-7*I	-0.0655581752572026+0.*I	0.+9.950664947063031*^-6*I	0.1345802263668379+0.*I	0.-0.00002099187721681998*I	-0.196992079870983+0.*I	0.+0.000019169211713282795*I	0.22463441432509776+0.*I	0.+0.000018693491670869195*I	-0.20105601522465477+0.*I	0.-0.000020181748326610112*I	0.1336643573573049+0.*I	0.+9.782485869448482*^-6*I	-0.0532416417901015+0.*I	0.-2.1652458346639337*^-6*I	-0.0006391499937905465+0.*I
-0.034562947579158454+0.*I	0.-280.01474475429364*I	0.00656147310372901+0.*I	0.+720.6771467619873*I	0.06550624157246965+0.*I	0.-1324.7968097102569*I	-0.1979859225434954+0.*I	0.+1900.5679071671234*I	0.38804271326020784+0.*I	0.-2176.9912905126853*I	0.3942581576885236+0.*I	0.+1989.5547174657859*I	-0.19530268594194505+0.*I	0.-1401.738973960664*I	0.05512878854587866+0.*I	0.+674.4357939080398*I	0.012314790844925205+0.*I	0.-105.72516106133976*I	-0.022887306951059228+0.*I	0.-144.38686862115264*I	0.008448620088943981+0.*I	0.+123.16533373355522*I	0.0038679132844113284+0.*I	0.-9.158689543917596*I	-0.00478378223880338+0.*I	0.-40.639353609150824*I	0.0007198468778885081+0.*I	0.+40.639353537166095*I	0.0033440884758285105+0.*I	0.+49.798043631447*I	0.006419498126119305+0.*I	0.-114.00664457642878*I	-0.021688075868173007+0.*I	0.+21.221534042735737*I	0.015361609183502045+0.*I	0.+250.11203197122347*I	0.03253690096468054+0.*I	0.-568.710634078179*I	-0.1017227552174238+0.*I	0.+727.303174539746*I	0.11932428412551799+0.*I	0.-587.8157239748526*I	0.017196829418965276+0.*I	0.+187.43653362108407*I	-0.3927113337453916+0.*I	0.+276.4233445412911*I	0.03231095493945357+0.*I	0.-575.771077658274*I	0.10809785983786169+0.*I	0.+604.1196563976457*I	-0.11319213576989151+0.*I	0.-440.66240266384074*I	0.06256442239996396+0.*I	0.+280.0147482105885*I
0.+1.2271339238030984*^-6*I	-0.02864062469213599+0.*I	0.+1.6369285454105154*^-6*I	0.0194652233321118+0.*I	0.-3.583450878621677*^-6*I	0.053787168027082395+0.*I	0.-1.7952659240865446*^-6*I	-0.19726607566543466+0.*I	0.+0.000021521873490630012*I	0.39425815768859146+0.*I	0.-0.000060947689259489196*I	0.39000610298354776+0.*I	0.+0.000021947078961134406*I	-0.19664430202451658+0.*I	0.-2.2826487586827336*^-6*I	0.058355809085073526+0.*I	0.-3.5529321498246018*^-6*I	0.012314790844946452+0.*I	0.+2.321453065329956*^-6*I	-0.02611432749023172+0.*I	0.+2.899796836931713*^-7*I	0.009790236171347584+0.*I	0.-1.2690033008279448*^-6*I	0.008119967989673163+0.*I	0.+4.570065018606455*^-7*I	-0.010999226667471584+0.*I	0.+6.429161648865478*^-7*I	0.010999226731763347+0.*I	0.-1.742838838062855*^-6*I	0.0028792587234991677+0.*I	0.+9.979064638524716*^-7*I	-0.017910204287921158+0.*I	0.+2.062117265767631*^-6*I	0.01632409134788188+0.*I	0.-3.984506084248877*^-6*I	0.013799536877430492+0.*I	0.+2.8309933117585706*^-7*I	-0.07067060028531304+0.*I	0.+0.000010336892847179593*I	0.1382884927111782+0.*I	0.-0.00002188309335961471*I	-0.19336179876432352+0.*I	0.+0.000019272194274918185*I	0.21573573323309175+0.*I	0.+0.00002010192166123978*I	-0.1969920798709695+0.*I	0.-0.00002192458716482763*I	0.14347890745882558+0.*I	0.+9.371962342829193*^-6*I	-0.07325239171753925+0.*I	0.+1.5367277075697032*^-6*I	0.009175401523716995+0.*I	0.-4.09119640530263*^-6*I	0.028640624814849344+0.*I
0.005922322886924958+0.*I	0.-98.14551576785614*I	-0.015736874463710415+0.*I	0.-79.90724676939303*I	0.007746149786771239+0.*I	0.+622.5316469184089*I	0.05450701490506982+0.*I	0.-1365.4361633190208*I	-0.1910506312369718+0.*I	0.+1989.5547174660355*I	0.3900061029835753+0.*I	0.-2213.294101154701*I	0.38866448690095456+0.*I	0.+1952.472054156898*I	-0.19341728148526474+0.*I	0.-1350.614724002218*I	0.05835580908504295+0.*I	0.+674.43579390835*I	0.009087770305792164+0.*I	0.-156.84941102024294*I	-0.024772711407816228+0.*I	0.-107.30420531224655*I	0.014042290876591423+0.*I	0.+159.4681443760061*I	0.0019045235610092304+0.*I	0.-98.14549984339747*I	-0.011719073545349123+0.*I	0.+98.14550101530514*I	0.02153362364687922+0.*I	0.-61.32264472306105*I	-0.029570411680193587+0.*I	0.-52.16394046798866*I	0.010311726756802697+0.*I	0.+264.1536188097607*I	0.04087634653198946+0.*I	0.-517.5863837968842*I	-0.10172275521746998+0.*I	0.+676.1789242582872*I	0.11098483855825858+0.*I	0.-601.8573108129518*I	0.022246711845711253+0.*I	0.+260.8220081313543*I	-0.3848289979335755+0.*I	0.+223.73934468805498*I	0.017196829418760995+0.*I	0.-624.1185350419518*I	0.11144194831369392+0.*I	0.+742.9045109499101*I	-0.09165851212362308+0.*I	0.-542.6244009236309*I	0.02964992224367946+0.*I	0.+178.0527641109366*I	0.0038922286310634213+0.*I	0.+98.14551517562394*I
0.-1.8193662124950822*^-6*I	0.018826073115350332+0.*I	0.-6.324109903990453*^-8*I	-0.027455948009050987+0.*I	0.+2.8088358999450245*^-6*I	0.008465996664758132+0.*I	0.-3.6554355664208134*^-6*I	0.06072245933353324+0.*I	0.-2.416810366932492*^-6*I	-0.1953026859419886+0.*I	0.+0.00002194707896113134*I	0.3886644869009826+0.*I	0.-0.000060813527651229644*I	0.3918915074402051+0.*I	0.+0.000021624376907209106*I	-0.19341728148529408+0.*I	0.-2.28264875867967*^-6*I	0.05512878854588812+0.*I	0.-3.230230095909141*^-6*I	0.01042938638820821+0.*I	0.+2.1872914570883418*^-6*I	-0.020520656702572214+0.*I	0.-1.3522578683111205*^-7*I	0.007826846447926378+0.*I	0.-6.474588579615433*^-7*I	0.0011846766831328371+0.*I	0.+5.289911896482627*^-7*I	-0.001184676630233559+0.*I	0.-4.1052352662485624*^-7*I	-0.009011523195805199+0.*I	0.+1.9591347041670083*^-6*I	0.0126938102411231+0.*I	0.-3.0932899414477585*^-6*I	0.010091270533093093+0.*I	0.-1.0312856895008176*^-7*I	-0.0655581752571191+0.*I	0.+9.88917619057107*^-6*I	0.13828849271114127+0.*I	0.-0.000021435376703005802*I	-0.19847422379247354+0.*I	0.+0.000019658422175044395*I	0.2194439995774593+0.*I	0.+0.000019210705518437523*I	-0.19336179876428616+0.*I	0.-0.000021821604603135904*I	0.1345802263667742+0.*I	0.+0.000010780392333396248*I	-0.0691884563638351+0.*I	0.-2.0611113054276406*^-7*I	0.018989951625176336+0.*I	0.-4.501719931948611*^-6*I	0.008629874887376557+0.*I	0.+3.7019735422426917*^-6*I	-0.018826073297286937+0.*I
0.012903750228464406+0.*I	0.+200.1074979846152*I	0.007106999569996941+0.*I	0.-196.29101561093765*I	-0.026736101131090984+0.*I	0.-120.54660037832402*I	0.01468144109325864+0.*I	0.+711.5184572173629*I	0.05647040462847769+0.*I	0.-1401.7389739608116*I	-0.19664430202455896+0.*I	0.+1952.4720541567976*I	0.39189150744023876+0.*I	0.-2162.169851196086*I	0.39189150744015255+0.*I	0.+1952.4720541572635*I	-0.19664430202442618+0.*I	0.-1401.7389739613095*I	0.05647040462829522+0.*I	0.+711.518457217429*I	0.014681441093447767+0.*I	0.-120.54660037782297*I	-0.026736101131229983+0.*I	0.-196.29101561181446*I	0.007106999570048622+0.*I	0.+200.10749798524975*I	0.012903750228476951+0.*I	0.-200.10749927562512*I	-0.032914500156039195+0.*I	0.-3.81648308413539*I	0.025425852277576655+0.*I	0.+316.8376186632478*I	0.03299401071997776+0.*I	0.-590.9718583077504*I	-0.10677263764419997+0.*I	0.+690.2205110968407*I	0.1193242841255886+0.*I	0.-550.7330605315229*I	0.022246711845685052+0.*I	0.+209.69775784967277*I	-0.393168443500874+0.*I	0.+209.6977578501382*I	0.02224671184563709+0.*I	0.-550.7330605315561*I	0.11932428412570806+0.*I	0.+690.2205110964081*I	-0.10677263764449241+0.*I	0.-590.9718583071829*I	0.03299401072002972+0.*I	0.+316.8376186628718*I	0.0254258522778521+0.*I	0.-3.8164830843773756*I	-0.03291450015625941+0.*I	0.-200.10749927499012*I
0.+5.289911896488381*^-7*I	0.0011846766831107003+0.*I	0.-6.474588579599265*^-7*I	0.007826846447957784+0.*I	0.-1.352257868358757*^-7*I	-0.020520656702591195+0.*I	0.+2.1872914570949575*^-6*I	0.010429386388203924+0.*I	0.-3.2302300959153834*^-6*I	0.055128788545906186+0.*I	0.-2.2826487586752344*^-6*I	-0.19341728148530216+0.*I	0.+0.000021624376907205443*I	0.39189150744018625+0.*I	0.-0.00006081352765122405*I	0.38866448690101996+0.*I	0.+0.000021947078961122117*I	-0.19530268594201855+0.*I	0.-2.4168103669202454*^-6*I	0.060722459333534096+0.*I	0.-3.6554355664331314*^-6*I	0.008465996664790308+0.*I	0.+2.8088358999541394*^-6*I	-0.02745594800910801+0.*I	0.-6.324109904329518*^-8*I	0.018826073115392108+0.*I	0.-1.8193662124959231*^-6*I	-0.01882607329732894+0.*I	0.+3.701973542228774*^-6*I	0.008629874887391689+0.*I	0.-4.501719931924575*^-6*I	0.018989951625201264+0.*I	0.-2.0611113054995793*^-7*I	-0.06918845636386808+0.*I	0.+0.00001078039233336994*I	0.13458022636680322+0.*I	0.-0.000021821604603130046*I	-0.19336179876429363+0.*I	0.+0.000019210705518437607*I	0.21944399957744104+0.*I	0.+0.00001965842217504282*I	-0.19847422379244642+0.*I	0.-0.00002143537670300586*I	0.13828849271113106+0.*I	0.+9.88917619057022*^-6*I	-0.06555817525713312+0.*I	0.-1.0312856894507732*^-7*I	0.010091270533116354+0.*I	0.-3.0932899414487233*^-6*I	0.012693810241110824+0.*I	0.+1.959134704149006*^-6*I	-0.009011523195814383+0.*I	0.-4.1052352661947006*^-7*I	-0.0011846766302115595+0.*I
